YEAR,MONTH,GDP,MORTGAGE30US,SPPOPGROWUSA,CPIAUCSL,FEDFUNDS,UNRATE,CSUSHPISA
2002,1,10783.5,6.9975,0.927797485710314,177.7,1.73,5.7,117.143
2002,2,10783.5,6.8925,0.927797485710314,178.0,1.74,5.7,117.845
2002,3,10783.5,7.014,0.927797485710314,178.5,1.73,5.7,118.687
2002,4,10887.46,6.985,0.927797485710314,179.3,1.75,5.9,119.611
2002,5,10887.46,6.806,0.927797485710314,179.5,1.75,5.8,120.724
2002,6,10887.46,6.65,0.927797485710314,179.6,1.75,5.8,121.813
2002,7,10984.04,6.485,0.927797485710314,180.0,1.73,5.8,122.888
2002,8,10984.04,6.29,0.927797485710314,180.5,1.74,5.7,123.83
2002,9,10984.04,6.0925,0.927797485710314,180.8,1.75,5.7,124.78
2002,10,11061.433,6.1125,0.927797485710314,181.2,1.75,5.7,125.735
2002,11,11061.433,6.068,0.927797485710314,181.5,1.34,5.9,126.67
2002,12,11061.433,6.0475,0.927797485710314,181.8,1.24,6.0,127.624
2003,1,11174.129,5.9159999999999995,0.859481712840946,182.6,1.24,5.8,128.461
2003,2,11174.129,5.8425,0.859481712840946,183.6,1.26,5.9,129.355
2003,3,11174.129,5.745,0.859481712840946,183.9,1.25,5.9,130.148
2003,4,11312.766,5.8125,0.859481712840946,183.2,1.26,6.0,130.884
2003,5,11312.766,5.484,0.859481712840946,182.9,1.26,6.1,131.734
2003,6,11312.766,5.23,0.859481712840946,183.1,1.22,6.3,132.649
2003,7,11566.669,5.6325,0.859481712840946,183.7,1.01,6.2,133.77700000000002
2003,8,11566.669,6.264,0.859481712840946,184.5,1.03,6.1,134.969
2003,9,11566.669,6.1475,0.859481712840946,185.1,1.01,6.1,136.29399999999998
2003,10,11772.234,5.952,0.859481712840946,184.9,1.01,6.0,137.532
2003,11,11772.234,5.9325,0.859481712840946,185.0,1.0,5.8,138.79399999999998
2003,12,11772.234,5.8759999999999994,0.859481712840946,185.5,0.98,5.7,140.179
2004,1,11923.447,5.7125,0.925483968943482,186.3,1.0,5.7,141.64600000000002
2004,2,11923.447,5.635,0.925483968943482,186.7,1.01,5.6,143.192
2004,3,11923.447,5.445,0.925483968943482,187.1,1.0,5.8,145.059
2004,4,12112.815,5.83,0.925483968943482,187.4,1.0,5.6,146.593
2004,5,12112.815,6.27,0.925483968943482,188.2,1.0,5.6,148.186
2004,6,12112.815,6.2875,0.925483968943482,188.9,1.03,5.6,149.85
2004,7,12305.307,6.056,0.925483968943482,189.1,1.26,5.5,151.338
2004,8,12305.307,5.8675,0.925483968943482,189.2,1.43,5.4,152.63299999999998
2004,9,12305.307,5.754,0.925483968943482,189.8,1.61,5.4,154.179
2004,10,12527.214,5.7225,0.925483968943482,190.8,1.76,5.5,155.75
2004,11,12527.214,5.73,0.925483968943482,191.7,1.93,5.4,157.52700000000002
2004,12,12527.214,5.752,0.925483968943482,191.7,2.16,5.4,159.33
2005,1,12767.286,5.71,0.921713167161207,191.6,2.28,5.3,161.28799999999998
2005,2,12767.286,5.6275,0.921713167161207,192.4,2.5,5.4,163.344
